label,x,y,width,height,filename,resX,resY
Large Bright Peak,40,276,9,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Bright Peak,419,363,9,8,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Dim Peak,505,80,9,16,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Small Bright Trough,505,110,9,33,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_2_Z.jpg,514,514
Large Bright Trough,287,436,10,13,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,18,160,10,14,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,307,52,10,15,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_10_Z.jpg,514,514
Large Bright Peak,267,404,10,16,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_8_Z.jpg,514,514
Large Dim Peak,333,159,10,9,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_500X500_6_1_Z.jpg,514,514
Large Dim Peak,454,103,10,9,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,445,95,10,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,288,446,10,10,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Bright Peak,138,218,10,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Bright Peak,310,145,10,11,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Bright Peak,367,100,10,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Bright Peak,392,86,10,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Bright Peak,122,91,10,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Dim Peak,17,61,10,11,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Small Bright Trough,304,223,10,12,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Small Bright Trough,0,203,10,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Small Bright Trough,0,106,10,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Bright Peak,219,226,10,9,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Dim Peak,308,179,10,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Small Bright Trough,21,285,10,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Small Bright Trough,420,462,10,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Bright Peak,238,34,10,11,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Small Bright Trough,295,102,10,8,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Large Dim Peak,297,480,10,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Large Bright Peak,87,23,10,11,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_6_Z.jpg,514,514
Large Bright Peak,87,18,10,8,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_4_Z.jpg,514,514
Small Bright Trough,259,95,11,12,WSe2-SL445_211118_-1.4V_100x100_Z_030.jpg,512,512
Large Bright Trough,223,103,11,9,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,253,249,11,9,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Large Bright Peak,392,428,11,18,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Large Bright Peak,355,440,11,15,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,312,48,11,16,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_11_Z.jpg,514,514
Large Bright Peak,393,209,11,16,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_11_Z.jpg,514,514
Large Dim Peak,503,473,11,21,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_8_Z.jpg,514,514
Large Bright Peak,298,59,11,14,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_7_Z.jpg,514,514
Large Bright Peak,266,399,11,14,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_7_Z.jpg,514,514
Large Bright Peak,296,64,11,14,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_6_Z.jpg,514,514
Large Bright Peak,298,49,11,18,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_6_Z.jpg,514,514
Large Bright Peak,363,245,11,15,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_4_Z.jpg,514,514
Large Bright Peak,357,251,11,13,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_3_Z.jpg,514,514
Large Bright Peak,232,432,11,14,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_1_Z.jpg,514,514
Large Dim Peak,403,424,11,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Bright Peak,282,383,11,13,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,43,168,11,13,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Bright Peak,44,307,11,9,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Bright Peak,497,195,11,19,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_1_Z.jpg,514,514
Large Dim Peak,475,30,11,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Bright Peak,178,425,11,9,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Bright Peak,57,150,11,9,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Small Bright Trough,287,22,11,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Bright Peak,234,266,11,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Large Dim Peak,417,377,11,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Small Bright Trough,0,283,11,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Large Bright Peak,462,139,11,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Bright Peak,288,50,11,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Bright Peak,254,10,11,16,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Dim Peak,119,332,11,18,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Small Bright Trough,33,332,11,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Small Bright Trough,415,138,11,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_2_Z.jpg,514,514
Large Dim Peak,100,52,11,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Large Bright Peak,351,100,11,11,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_6_Z.jpg,514,514
Large Bright Peak,78,16,11,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_5_Z.jpg,514,514
Large Bright Peak,358,88,11,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_3_Z.jpg,514,514
Large Bright Peak,89,13,11,7,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_3_Z.jpg,514,514
Large Bright Peak,79,8,11,9,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_3_Z.jpg,514,514
Large Bright Peak,0,76,11,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_3_Z.jpg,514,514
Large Dim Peak,268,290,12,12,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_500X500_6_1_Z.jpg,514,514
Large Bright Peak,240,403,12,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Small Dim Trough,214,36,12,11,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Dim Peak,271,202,12,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_6_Z.jpg,514,514
Small Bright Trough,85,156,13,13,WSe2-SL445_211118_-1.4V_100x100_Z_030.jpg,512,512
Small Bright Trough,143,219,13,13,WSe2-SL445_211118_-1.4V_100x100_Z_030.jpg,512,512
Small Bright Trough,6,9,13,16,WSe2-SL445_211118_-1.4V_100x100_Z_030.jpg,512,512
Large Bright Peak,341,167,13,17,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,440,135,13,13,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,463,38,13,14,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,242,104,13,10,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,117,172,13,11,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Large Bright Trough,501,293,13,24,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Large Bright Peak,226,259,13,10,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,214,254,13,11,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,191,147,13,10,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,306,190,13,16,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,404,157,13,14,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,431,61,13,13,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,430,15,13,11,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,356,75,13,15,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,284,74,13,13,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_4_Z.jpg,514,514
Large Dim Peak,393,340,13,13,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_500X500_6_1_Z.jpg,514,514
Large Bright Peak,281,382,13,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,120,501,13,13,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Bright Peak,364,329,13,10,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,443,416,13,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,433,86,13,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,478,36,13,13,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,33,313,13,13,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,206,119,13,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,501,256,13,20,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Bright Peak,188,15,13,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Bright Peak,291,392,13,11,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Bright Peak,307,128,13,19,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Dim Peak,287,201,13,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Dim Peak,45,167,13,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Dim Peak,441,94,13,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Dim Peak,501,255,13,29,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Bright Peak,379,155,13,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_1_Z.jpg,514,514
Large Bright Peak,0,113,13,28,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_1_Z.jpg,514,514
Large Dim Peak,472,104,13,18,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_1_Z.jpg,514,514
Large Bright Peak,193,75,13,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Bright Peak,183,8,13,11,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Dim Peak,463,274,13,20,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Dim Peak,267,170,13,9,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Dim Peak,501,249,13,27,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Bright Peak,283,380,13,18,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_5_Z.jpg,514,514
Large Bright Peak,195,76,13,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_5_Z.jpg,514,514
Large Dim Trough,393,0,247,125,WSe2-SL445_211119_-1.4V_100x100_Z_037.jpg,1024,1024
Large Dim Peak,360,122,13,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Dim Peak,443,205,13,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Dim Peak,485,54,13,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Dim Peak,491,0,13,9,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Dim Peak,111,473,13,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Dim Peak,133,315,13,11,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Dim Peak,113,232,13,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Small Dim Trough,422,176,13,12,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Bright Peak,183,270,13,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Large Bright Peak,413,226,13,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Large Dim Peak,118,248,13,11,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Small Bright Trough,268,386,13,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Small Bright Trough,75,295,13,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Small Dim Trough,325,60,13,19,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Large Dim Peak,402,244,13,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Dim Peak,123,266,13,7,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Dim Peak,306,433,13,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Bright Peak,434,158,13,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Large Bright Peak,188,246,13,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Large Dim Peak,374,264,13,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Large Dim Peak,283,200,13,16,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Large Dim Peak,342,201,13,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Large Dim Peak,219,186,13,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Small Dim Trough,129,400,13,11,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Small Dim Trough,451,378,13,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_2_Z.jpg,514,514
Large Bright Peak,172,129,13,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Large Bright Peak,216,485,13,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Large Dim Peak,125,352,13,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Large Dim Peak,442,160,13,17,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Small Bright Trough,207,9,13,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Small Bright Trough,501,134,13,17,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_5_Z.jpg,514,514
Small Bright Trough,45,0,14,15,WSe2-SL445_211118_-1.4V_100x100_Z_030.jpg,512,512
Large Bright Trough,181,332,14,11,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,127,163,14,10,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,367,271,14,14,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,176,363,14,9,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,124,465,14,9,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Dim Peak,455,108,14,16,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Large Dim Peak,481,381,14,17,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Large Bright Peak,352,278,14,18,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Large Bright Peak,214,137,14,8,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Large Bright Trough,0,224,14,19,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,430,390,14,15,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,320,15,14,10,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,431,498,14,16,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_8_Z.jpg,514,514
Large Bright Peak,378,222,14,10,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_7_Z.jpg,514,514
Large Bright Peak,426,503,14,11,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_7_Z.jpg,514,514
Large Bright Peak,366,235,14,17,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_4_Z.jpg,514,514
Large Bright Peak,279,79,14,14,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_3_Z.jpg,514,514
Large Bright Peak,275,84,14,15,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_2_Z.jpg,514,514
Large Bright Peak,355,247,14,10,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_2_Z.jpg,514,514
Large Dim Peak,430,247,14,15,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_500X500_6_1_Z.jpg,514,514
Large Dim Peak,288,430,14,10,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_500X500_6_1_Z.jpg,514,514
Large Bright Peak,379,225,14,11,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_9_Z.jpg,514,514
Large Bright Peak,162,72,14,19,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Bright Peak,329,72,14,13,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Bright Peak,285,332,14,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Bright Peak,133,218,14,13,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,260,454,14,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,102,371,14,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,449,177,14,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,419,485,14,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,467,277,14,17,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,491,209,14,19,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,126,297,14,13,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,56,245,14,13,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,77,166,14,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
